;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
2872;2024-02-26;2024;2;26;14;Cliente_14;Centro-Oeste;Varejo;Produto_68;Software;9; R$ 755,20 ; R$ 6.796,80 ;Pix;Pendente
2873;2024-03-13;2024;3;13;745;Cliente_745;Centro-Oeste;Corporativo;Produto_89;Software;7; R$ 1.218,91 ; R$ 8.532,37 ;Transferência;Concluída
2874;2024-02-10;2024;2;10;382;Cliente_382;Nordeste;Corporativo;Produto_115;Eletrônicos;8; R$ 867,02 ; R$ 6.936,16 ;Transferência;Concluída
2875;2024-07-24;2024;7;24;872;Cliente_872;Norte;Atacado;Produto_103;Equipamentos;4; R$ 1.177,62 ; R$ 4.710,48 ;Transferência;Cancelada
2876;2024-09-10;2024;9;10;449;Cliente_449;Nordeste;Corporativo;Produto_26;Serviços;1; R$ 757,07 ; R$ 757,07 ;Transferência;Cancelada
2877;2024-03-12;2024;3;12;587;Cliente_587;Nordeste;Online;Produto_98;Eletrônicos;1; R$ 348,43 ; R$ 348,43 ;Pix;Pendente
2878;2024-08-05;2024;8;5;801;Cliente_801;Nordeste;Atacado;Produto_1;Software;7; R$ 368,30 ; R$ 2.578,10 ;Cartão;Concluída
2879;2024-12-16;2024;12;16;937;Cliente_937;Sudeste;Atacado;Produto_27;Software;7; R$ 1.562,69 ; R$ 10.938,83 ;Boleto;Pendente
2880;2024-07-22;2024;7;22;1048;Cliente_1048;Centro-Oeste;Corporativo;Produto_54;Equipamentos;4; R$ 243,14 ; R$ 972,56 ;Pix;Pendente
2881;2024-07-12;2024;7;12;56;Cliente_56;Centro-Oeste;Corporativo;Produto_131;Equipamentos;5; R$ 788,83 ; R$ 3.944,15 ;Cartão;Concluída
2882;2024-04-28;2024;4;28;773;Cliente_773;Norte;Varejo;Produto_72;Acessórios;9; R$ 1.126,29 ; R$ 10.136,61 ;Boleto;Pendente
2883;2024-12-19;2024;12;19;467;Cliente_467;Norte;Online;Produto_148;Serviços;7; R$ 1.463,29 ; R$ 10.243,03 ;Boleto;Cancelada
2884;2024-01-30;2024;1;30;233;Cliente_233;Sul;Online;Produto_58;Software;3; R$ 975,46 ; R$ 2.926,38 ;Cartão;Concluída
2885;2024-12-17;2024;12;17;542;Cliente_542;Nordeste;Varejo;Produto_21;Acessórios;1; R$ 766,70 ; R$ 766,70 ;Transferência;Concluída
2886;2024-09-02;2024;9;2;263;Cliente_263;Norte;Atacado;Produto_6;Eletrônicos;9; R$ 330,62 ; R$ 2.975,58 ;Cartão;Pendente
2887;2024-09-02;2024;9;2;1195;Cliente_1195;Sudeste;Corporativo;Produto_135;Acessórios;7; R$ 1.310,97 ; R$ 9.176,79 ;Pix;Cancelada
2888;2024-08-17;2024;8;17;978;Cliente_978;Centro-Oeste;Varejo;Produto_81;Serviços;5; R$ 1.171,64 ; R$ 5.858,20 ;Boleto;Concluída
2889;2024-10-06;2024;10;6;1005;Cliente_1005;Sul;Online;Produto_107;Software;2; R$ 238,55 ; R$ 477,10 ;Cartão;Cancelada
2890;2024-01-05;2024;1;5;1095;Cliente_1095;Sul;Varejo;Produto_127;Serviços;2; R$ 1.989,90 ; R$ 3.979,80 ;Pix;Pendente
2891;2024-04-12;2024;4;12;499;Cliente_499;Norte;Atacado;Produto_119;Software;2; R$ 1.986,44 ; R$ 3.972,88 ;Pix;Pendente
2892;2024-11-01;2024;11;1;365;Cliente_365;Sudeste;Corporativo;Produto_56;Equipamentos;7; R$ 224,64 ; R$ 1.572,48 ;Cartão;Concluída
2893;2024-12-19;2024;12;19;1176;Cliente_1176;Centro-Oeste;Varejo;Produto_101;Acessórios;4; R$ 1.060,60 ; R$ 4.242,40 ;Boleto;Cancelada
2894;2024-11-25;2024;11;25;97;Cliente_97;Norte;Corporativo;Produto_20;Equipamentos;2; R$ 1.531,95 ; R$ 3.063,90 ;Transferência;Pendente
2895;2024-04-23;2024;4;23;387;Cliente_387;Nordeste;Corporativo;Produto_31;Serviços;3; R$ 247,54 ; R$ 742,62 ;Cartão;Pendente
2896;2024-01-19;2024;1;19;1080;Cliente_1080;Norte;Online;Produto_15;Serviços;6; R$ 550,17 ; R$ 3.301,02 ;Transferência;Cancelada
2897;2024-05-31;2024;5;31;335;Cliente_335;Sudeste;Online;Produto_129;Serviços;10; R$ 727,37 ; R$ 7.273,70 ;Pix;Cancelada
2898;2024-10-27;2024;10;27;863;Cliente_863;Centro-Oeste;Varejo;Produto_40;Equipamentos;4; R$ 1.366,56 ; R$ 5.466,24 ;Pix;Cancelada
2899;2024-03-15;2024;3;15;447;Cliente_447;Sudeste;Online;Produto_28;Equipamentos;10; R$ 1.271,59 ; R$ 12.715,90 ;Pix;Concluída
2900;2024-02-04;2024;2;4;378;Cliente_378;Sudeste;Corporativo;Produto_108;Serviços;6; R$ 1.124,15 ; R$ 6.744,90 ;Cartão;Cancelada
2901;2024-01-20;2024;1;20;374;Cliente_374;Norte;Corporativo;Produto_60;Acessórios;4; R$ 823,52 ; R$ 3.294,08 ;Pix;Pendente
2902;2024-10-11;2024;10;11;529;Cliente_529;Sudeste;Online;Produto_60;Eletrônicos;2; R$ 1.653,13 ; R$ 3.306,26 ;Pix;Pendente
2903;2024-01-05;2024;1;5;446;Cliente_446;Sul;Corporativo;Produto_134;Software;1; R$ 1.214,15 ; R$ 1.214,15 ;Cartão;Cancelada
2904;2024-10-23;2024;10;23;878;Cliente_878;Centro-Oeste;Corporativo;Produto_35;Software;5; R$ 737,48 ; R$ 3.687,40 ;Cartão;Cancelada
2905;2024-11-21;2024;11;21;361;Cliente_361;Nordeste;Online;Produto_24;Equipamentos;2; R$ 932,59 ; R$ 1.865,18 ;Transferência;Cancelada
2906;2024-04-20;2024;4;20;132;Cliente_132;Centro-Oeste;Corporativo;Produto_50;Equipamentos;2; R$ 1.757,14 ; R$ 3.514,28 ;Transferência;Concluída
2907;2024-12-02;2024;12;2;980;Cliente_980;Nordeste;Online;Produto_3;Serviços;3; R$ 259,63 ; R$ 778,89 ;Pix;Concluída
2908;2024-05-18;2024;5;18;352;Cliente_352;Norte;Atacado;Produto_16;Equipamentos;3; R$ 1.475,25 ; R$ 4.425,75 ;Boleto;Concluída
2909;2024-01-08;2024;1;8;481;Cliente_481;Norte;Varejo;Produto_80;Software;7; R$ 639,09 ; R$ 4.473,63 ;Pix;Concluída
2910;2024-05-18;2024;5;18;608;Cliente_608;Nordeste;Varejo;Produto_41;Software;9; R$ 1.747,78 ; R$ 15.730,02 ;Boleto;Pendente
2911;2024-07-29;2024;7;29;15;Cliente_15;Sudeste;Varejo;Produto_31;Acessórios;10; R$ 629,15 ; R$ 6.291,50 ;Transferência;Cancelada
2912;2024-05-20;2024;5;20;134;Cliente_134;Norte;Online;Produto_27;Software;6; R$ 844,73 ; R$ 5.068,38 ;Transferência;Pendente
2913;2024-12-27;2024;12;27;395;Cliente_395;Norte;Atacado;Produto_120;Eletrônicos;10; R$ 1.087,52 ; R$ 10.875,20 ;Pix;Pendente
2914;2024-02-17;2024;2;17;275;Cliente_275;Centro-Oeste;Varejo;Produto_131;Serviços;5; R$ 1.680,77 ; R$ 8.403,85 ;Transferência;Concluída
2915;2024-06-11;2024;6;11;145;Cliente_145;Sul;Online;Produto_69;Serviços;1; R$ 1.293,15 ; R$ 1.293,15 ;Boleto;Concluída
2916;2024-12-30;2024;12;30;358;Cliente_358;Sul;Corporativo;Produto_150;Equipamentos;4; R$ 970,96 ; R$ 3.883,84 ;Boleto;Concluída
2917;2024-10-02;2024;10;2;1168;Cliente_1168;Sul;Varejo;Produto_146;Software;6; R$ 482,78 ; R$ 2.896,68 ;Cartão;Concluída
2918;2024-01-09;2024;1;9;1110;Cliente_1110;Centro-Oeste;Atacado;Produto_79;Serviços;4; R$ 1.225,48 ; R$ 4.901,92 ;Pix;Cancelada
2919;2024-08-05;2024;8;5;305;Cliente_305;Nordeste;Atacado;Produto_70;Equipamentos;5; R$ 24,36 ; R$ 121,80 ;Boleto;Concluída
2920;2024-04-27;2024;4;27;615;Cliente_615;Nordeste;Online;Produto_54;Equipamentos;9; R$ 1.086,82 ; R$ 9.781,38 ;Pix;Concluída
2921;2024-11-09;2024;11;9;1079;Cliente_1079;Sudeste;Varejo;Produto_130;Equipamentos;7; R$ 883,64 ; R$ 6.185,48 ;Pix;Pendente
2922;2024-10-14;2024;10;14;360;Cliente_360;Nordeste;Corporativo;Produto_35;Acessórios;5; R$ 513,20 ; R$ 2.566,00 ;Pix;Pendente
2923;2024-06-23;2024;6;23;43;Cliente_43;Norte;Online;Produto_42;Acessórios;8; R$ 552,60 ; R$ 4.420,80 ;Pix;Cancelada
2924;2024-01-05;2024;1;5;558;Cliente_558;Nordeste;Corporativo;Produto_109;Software;8; R$ 1.690,19 ; R$ 13.521,52 ;Pix;Concluída
2925;2024-08-28;2024;8;28;661;Cliente_661;Sul;Online;Produto_12;Software;10; R$ 210,33 ; R$ 2.103,30 ;Transferência;Concluída
2926;2024-01-20;2024;1;20;1126;Cliente_1126;Centro-Oeste;Online;Produto_71;Serviços;9; R$ 418,79 ; R$ 3.769,11 ;Transferência;Concluída
2927;2024-11-08;2024;11;8;563;Cliente_563;Sul;Corporativo;Produto_133;Equipamentos;5; R$ 1.484,35 ; R$ 7.421,75 ;Transferência;Pendente
2928;2024-08-21;2024;8;21;1104;Cliente_1104;Norte;Corporativo;Produto_28;Equipamentos;10; R$ 1.167,19 ; R$ 11.671,90 ;Cartão;Pendente
2929;2024-05-13;2024;5;13;1197;Cliente_1197;Centro-Oeste;Corporativo;Produto_22;Eletrônicos;1; R$ 188,31 ; R$ 188,31 ;Cartão;Concluída
2930;2024-08-17;2024;8;17;1073;Cliente_1073;Norte;Online;Produto_101;Equipamentos;5; R$ 1.596,31 ; R$ 7.981,55 ;Pix;Pendente
2931;2024-06-22;2024;6;22;886;Cliente_886;Norte;Corporativo;Produto_6;Eletrônicos;6; R$ 20,10 ; R$ 120,60 ;Transferência;Pendente
2932;2024-12-15;2024;12;15;600;Cliente_600;Nordeste;Atacado;Produto_73;Serviços;5; R$ 1.134,69 ; R$ 5.673,45 ;Pix;Cancelada
2933;2024-01-10;2024;1;10;891;Cliente_891;Sudeste;Online;Produto_5;Software;10; R$ 1.043,90 ; R$ 10.439,00 ;Transferência;Pendente
2934;2024-06-08;2024;6;8;1181;Cliente_1181;Norte;Atacado;Produto_68;Serviços;4; R$ 979,26 ; R$ 3.917,04 ;Transferência;Concluída
2935;2024-06-18;2024;6;18;966;Cliente_966;Sul;Varejo;Produto_77;Eletrônicos;9; R$ 1.183,90 ; R$ 10.655,10 ;Boleto;Pendente
2936;2024-12-27;2024;12;27;115;Cliente_115;Sul;Corporativo;Produto_45;Equipamentos;4; R$ 1.087,06 ; R$ 4.348,24 ;Pix;Cancelada
2937;2024-05-07;2024;5;7;147;Cliente_147;Centro-Oeste;Online;Produto_147;Serviços;7; R$ 1.525,97 ; R$ 10.681,79 ;Transferência;Cancelada
2938;2024-09-19;2024;9;19;107;Cliente_107;Sudeste;Atacado;Produto_5;Eletrônicos;7; R$ 407,81 ; R$ 2.854,67 ;Cartão;Concluída
2939;2024-07-12;2024;7;12;290;Cliente_290;Centro-Oeste;Online;Produto_22;Acessórios;8; R$ 1.107,56 ; R$ 8.860,48 ;Boleto;Concluída
2940;2024-03-16;2024;3;16;603;Cliente_603;Sul;Corporativo;Produto_90;Acessórios;9; R$ 1.722,12 ; R$ 15.499,08 ;Transferência;Pendente
2941;2024-07-31;2024;7;31;100;Cliente_100;Nordeste;Varejo;Produto_50;Equipamentos;4; R$ 786,84 ; R$ 3.147,36 ;Boleto;Pendente
2942;2024-10-31;2024;10;31;623;Cliente_623;Sudeste;Corporativo;Produto_131;Acessórios;5; R$ 438,34 ; R$ 2.191,70 ;Transferência;Cancelada
2943;2024-02-06;2024;2;6;501;Cliente_501;Nordeste;Atacado;Produto_57;Software;4; R$ 227,80 ; R$ 911,20 ;Transferência;Cancelada
2944;2024-01-25;2024;1;25;864;Cliente_864;Sul;Atacado;Produto_32;Equipamentos;2; R$ 964,02 ; R$ 1.928,04 ;Pix;Pendente
2945;2024-08-07;2024;8;7;732;Cliente_732;Nordeste;Corporativo;Produto_35;Equipamentos;8; R$ 933,87 ; R$ 7.470,96 ;Boleto;Pendente
2946;2024-01-22;2024;1;22;911;Cliente_911;Centro-Oeste;Corporativo;Produto_127;Software;9; R$ 640,06 ; R$ 5.760,54 ;Transferência;Pendente
2947;2024-05-26;2024;5;26;559;Cliente_559;Centro-Oeste;Online;Produto_36;Acessórios;5; R$ 1.307,13 ; R$ 6.535,65 ;Pix;Concluída
2948;2024-01-15;2024;1;15;914;Cliente_914;Nordeste;Corporativo;Produto_100;Equipamentos;8; R$ 1.578,68 ; R$ 12.629,44 ;Transferência;Cancelada
2949;2024-03-17;2024;3;17;974;Cliente_974;Norte;Corporativo;Produto_108;Equipamentos;5; R$ 69,54 ; R$ 347,70 ;Pix;Concluída
2950;2024-04-12;2024;4;12;632;Cliente_632;Sudeste;Varejo;Produto_20;Software;10; R$ 901,40 ; R$ 9.014,00 ;Transferência;Concluída
2951;2024-01-30;2024;1;30;426;Cliente_426;Norte;Varejo;Produto_147;Software;1; R$ 1.251,54 ; R$ 1.251,54 ;Cartão;Pendente
2952;2024-09-16;2024;9;16;764;Cliente_764;Nordeste;Atacado;Produto_75;Software;7; R$ 727,00 ; R$ 5.089,00 ;Pix;Concluída
2953;2024-08-04;2024;8;4;1076;Cliente_1076;Sudeste;Atacado;Produto_88;Serviços;6; R$ 1.316,29 ; R$ 7.897,74 ;Boleto;Cancelada
2954;2024-01-17;2024;1;17;267;Cliente_267;Norte;Varejo;Produto_67;Equipamentos;7; R$ 871,08 ; R$ 6.097,56 ;Cartão;Cancelada
2955;2024-05-05;2024;5;5;162;Cliente_162;Sudeste;Online;Produto_108;Eletrônicos;2; R$ 138,66 ; R$ 277,32 ;Cartão;Cancelada
2956;2024-07-23;2024;7;23;1028;Cliente_1028;Sudeste;Varejo;Produto_23;Acessórios;10; R$ 1.191,31 ; R$ 11.913,10 ;Cartão;Cancelada
2957;2024-08-17;2024;8;17;652;Cliente_652;Sudeste;Corporativo;Produto_110;Eletrônicos;9; R$ 445,77 ; R$ 4.011,93 ;Pix;Cancelada
2958;2024-02-17;2024;2;17;628;Cliente_628;Centro-Oeste;Corporativo;Produto_131;Equipamentos;8; R$ 908,38 ; R$ 7.267,04 ;Cartão;Pendente
2959;2024-12-09;2024;12;9;946;Cliente_946;Sul;Atacado;Produto_5;Software;10; R$ 834,99 ; R$ 8.349,90 ;Boleto;Pendente
2960;2024-10-27;2024;10;27;828;Cliente_828;Sudeste;Varejo;Produto_135;Acessórios;6; R$ 1.956,34 ; R$ 11.738,04 ;Cartão;Pendente
2961;2024-01-02;2024;1;2;337;Cliente_337;Nordeste;Atacado;Produto_128;Equipamentos;4; R$ 1.389,48 ; R$ 5.557,92 ;Pix;Concluída
2962;2024-12-14;2024;12;14;647;Cliente_647;Nordeste;Corporativo;Produto_45;Serviços;5; R$ 1.679,59 ; R$ 8.397,95 ;Cartão;Pendente
2963;2024-02-15;2024;2;15;113;Cliente_113;Centro-Oeste;Corporativo;Produto_97;Eletrônicos;6; R$ 153,12 ; R$ 918,72 ;Pix;Pendente
2964;2024-04-19;2024;4;19;630;Cliente_630;Centro-Oeste;Varejo;Produto_65;Equipamentos;8; R$ 1.737,88 ; R$ 13.903,04 ;Pix;Concluída
2965;2024-06-03;2024;6;3;535;Cliente_535;Nordeste;Varejo;Produto_49;Software;8; R$ 612,48 ; R$ 4.899,84 ;Pix;Pendente
2966;2024-12-10;2024;12;10;212;Cliente_212;Nordeste;Atacado;Produto_130;Equipamentos;1; R$ 1.861,45 ; R$ 1.861,45 ;Boleto;Pendente
2967;2024-12-15;2024;12;15;169;Cliente_169;Sul;Corporativo;Produto_80;Equipamentos;9; R$ 1.833,24 ; R$ 16.499,16 ;Transferência;Pendente
2968;2024-04-14;2024;4;14;196;Cliente_196;Sudeste;Varejo;Produto_130;Serviços;4; R$ 198,54 ; R$ 794,16 ;Cartão;Concluída
2969;2024-05-16;2024;5;16;728;Cliente_728;Sul;Online;Produto_137;Eletrônicos;9; R$ 760,30 ; R$ 6.842,70 ;Pix;Concluída
2970;2024-03-26;2024;3;26;1080;Cliente_1080;Norte;Corporativo;Produto_141;Acessórios;9; R$ 742,07 ; R$ 6.678,63 ;Pix;Pendente
2971;2024-12-27;2024;12;27;119;Cliente_119;Norte;Atacado;Produto_142;Equipamentos;10; R$ 1.054,58 ; R$ 10.545,80 ;Pix;Pendente
2972;2024-06-25;2024;6;25;1063;Cliente_1063;Centro-Oeste;Atacado;Produto_56;Acessórios;2; R$ 766,04 ; R$ 1.532,08 ;Boleto;Concluída
2973;2024-10-19;2024;10;19;452;Cliente_452;Norte;Varejo;Produto_15;Serviços;5; R$ 1.074,34 ; R$ 5.371,70 ;Cartão;Pendente
2974;2024-12-26;2024;12;26;789;Cliente_789;Centro-Oeste;Atacado;Produto_80;Serviços;4; R$ 533,05 ; R$ 2.132,20 ;Cartão;Cancelada
2975;2024-05-03;2024;5;3;758;Cliente_758;Norte;Varejo;Produto_45;Eletrônicos;10; R$ 937,35 ; R$ 9.373,50 ;Pix;Concluída
2976;2024-02-14;2024;2;14;968;Cliente_968;Sudeste;Corporativo;Produto_23;Serviços;4; R$ 604,48 ; R$ 2.417,92 ;Boleto;Concluída
2977;2024-01-28;2024;1;28;681;Cliente_681;Norte;Online;Produto_58;Eletrônicos;6; R$ 737,64 ; R$ 4.425,84 ;Boleto;Concluída
2978;2024-08-13;2024;8;13;630;Cliente_630;Centro-Oeste;Varejo;Produto_26;Eletrônicos;5; R$ 40,32 ; R$ 201,60 ;Transferência;Pendente
2979;2024-06-09;2024;6;9;1125;Cliente_1125;Sudeste;Corporativo;Produto_105;Equipamentos;5; R$ 1.334,01 ; R$ 6.670,05 ;Boleto;Cancelada
2980;2024-06-04;2024;6;4;626;Cliente_626;Norte;Atacado;Produto_26;Serviços;6; R$ 1.976,15 ; R$ 11.856,90 ;Transferência;Cancelada
2981;2024-08-01;2024;8;1;547;Cliente_547;Sudeste;Varejo;Produto_27;Eletrônicos;6; R$ 322,35 ; R$ 1.934,10 ;Transferência;Concluída
2982;2024-02-17;2024;2;17;784;Cliente_784;Norte;Varejo;Produto_135;Serviços;7; R$ 1.386,24 ; R$ 9.703,68 ;Boleto;Cancelada
2983;2024-03-04;2024;3;4;513;Cliente_513;Sul;Atacado;Produto_107;Acessórios;3; R$ 1.604,12 ; R$ 4.812,36 ;Boleto;Concluída
2984;2024-11-22;2024;11;22;172;Cliente_172;Sul;Atacado;Produto_98;Acessórios;8; R$ 724,56 ; R$ 5.796,48 ;Transferência;Concluída
2985;2024-05-18;2024;5;18;63;Cliente_63;Sul;Varejo;Produto_1;Eletrônicos;9; R$ 403,23 ; R$ 3.629,07 ;Pix;Cancelada
2986;2024-11-20;2024;11;20;472;Cliente_472;Sudeste;Corporativo;Produto_34;Serviços;3; R$ 1.330,86 ; R$ 3.992,58 ;Transferência;Concluída
2987;2024-01-24;2024;1;24;413;Cliente_413;Sul;Online;Produto_144;Software;3; R$ 308,62 ; R$ 925,86 ;Transferência;Cancelada
2988;2024-10-11;2024;10;11;264;Cliente_264;Sul;Varejo;Produto_38;Acessórios;5; R$ 1.614,02 ; R$ 8.070,10 ;Pix;Concluída
2989;2024-01-23;2024;1;23;605;Cliente_605;Sudeste;Varejo;Produto_38;Acessórios;6; R$ 388,81 ; R$ 2.332,86 ;Transferência;Concluída
2990;2024-01-15;2024;1;15;779;Cliente_779;Nordeste;Atacado;Produto_68;Eletrônicos;1; R$ 590,31 ; R$ 590,31 ;Transferência;Pendente
2991;2024-07-23;2024;7;23;616;Cliente_616;Centro-Oeste;Online;Produto_11;Acessórios;8; R$ 541,71 ; R$ 4.333,68 ;Cartão;Pendente
2992;2024-10-26;2024;10;26;171;Cliente_171;Centro-Oeste;Online;Produto_112;Equipamentos;9; R$ 1.944,66 ; R$ 17.501,94 ;Pix;Concluída
2993;2024-06-17;2024;6;17;73;Cliente_73;Sudeste;Corporativo;Produto_35;Serviços;2; R$ 1.803,15 ; R$ 3.606,30 ;Transferência;Cancelada
2994;2024-07-14;2024;7;14;1042;Cliente_1042;Sudeste;Corporativo;Produto_61;Eletrônicos;9; R$ 896,74 ; R$ 8.070,66 ;Boleto;Pendente
2995;2024-03-11;2024;3;11;108;Cliente_108;Centro-Oeste;Varejo;Produto_23;Eletrônicos;7; R$ 1.301,37 ; R$ 9.109,59 ;Boleto;Cancelada
2996;2024-09-03;2024;9;3;783;Cliente_783;Centro-Oeste;Online;Produto_115;Eletrônicos;1; R$ 1.845,77 ; R$ 1.845,77 ;Cartão;Concluída
2997;2024-03-03;2024;3;3;1043;Cliente_1043;Sudeste;Online;Produto_63;Acessórios;1; R$ 430,48 ; R$ 430,48 ;Boleto;Cancelada
2998;2024-10-28;2024;10;28;1167;Cliente_1167;Norte;Online;Produto_118;Acessórios;5; R$ 629,92 ; R$ 3.149,60 ;Cartão;Pendente
2999;2024-10-14;2024;10;14;478;Cliente_478;Nordeste;Online;Produto_24;Equipamentos;5; R$ 892,19 ; R$ 4.460,95 ;Transferência;Concluída
3000;2024-04-23;2024;4;23;116;Cliente_116;Nordeste;Corporativo;Produto_127;Eletrônicos;10; R$ 676,13 ; R$ 6.761,30 ;Pix;Cancelada
3001;2024-09-27;2024;9;27;1059;Cliente_1059;Sul;Online;Produto_98;Serviços;7; R$ 1.633,09 ; R$ 11.431,63 ;Boleto;Pendente
3002;2024-03-22;2024;3;22;1096;Cliente_1096;Centro-Oeste;Atacado;Produto_138;Eletrônicos;3; R$ 1.747,82 ; R$ 5.243,46 ;Cartão;Cancelada
3003;2024-04-17;2024;4;17;448;Cliente_448;Norte;Corporativo;Produto_131;Acessórios;3; R$ 506,03 ; R$ 1.518,09 ;Pix;Pendente
3004;2024-08-04;2024;8;4;1097;Cliente_1097;Sul;Corporativo;Produto_127;Acessórios;5; R$ 1.369,39 ; R$ 6.846,95 ;Cartão;Cancelada
3005;2024-10-09;2024;10;9;818;Cliente_818;Nordeste;Corporativo;Produto_69;Software;5; R$ 661,42 ; R$ 3.307,10 ;Pix;Cancelada
3006;2024-04-28;2024;4;28;973;Cliente_973;Sudeste;Atacado;Produto_21;Equipamentos;6; R$ 310,19 ; R$ 1.861,14 ;Pix;Pendente
3007;2024-09-14;2024;9;14;676;Cliente_676;Centro-Oeste;Corporativo;Produto_71;Acessórios;10; R$ 1.264,45 ; R$ 12.644,50 ;Transferência;Pendente
3008;2024-05-29;2024;5;29;179;Cliente_179;Centro-Oeste;Corporativo;Produto_41;Equipamentos;2; R$ 1.417,39 ; R$ 2.834,78 ;Transferência;Pendente
3009;2024-11-12;2024;11;12;247;Cliente_247;Sul;Corporativo;Produto_66;Software;2; R$ 1.584,02 ; R$ 3.168,04 ;Boleto;Pendente
3010;2024-02-06;2024;2;6;833;Cliente_833;Sudeste;Corporativo;Produto_80;Eletrônicos;6; R$ 1.578,52 ; R$ 9.471,12 ;Transferência;Pendente
3011;2024-01-05;2024;1;5;1085;Cliente_1085;Norte;Atacado;Produto_90;Acessórios;10; R$ 865,00 ; R$ 8.650,00 ;Boleto;Concluída
3012;2024-01-20;2024;1;20;226;Cliente_226;Norte;Online;Produto_148;Equipamentos;7; R$ 1.572,88 ; R$ 11.010,16 ;Boleto;Concluída
3013;2024-05-23;2024;5;23;576;Cliente_576;Centro-Oeste;Atacado;Produto_79;Acessórios;3; R$ 269,98 ; R$ 809,94 ;Boleto;Pendente
3014;2024-10-17;2024;10;17;782;Cliente_782;Centro-Oeste;Online;Produto_112;Eletrônicos;7; R$ 1.115,53 ; R$ 7.808,71 ;Cartão;Cancelada
3015;2024-04-14;2024;4;14;1037;Cliente_1037;Nordeste;Online;Produto_142;Eletrônicos;1; R$ 563,70 ; R$ 563,70 ;Cartão;Pendente
3016;2024-07-10;2024;7;10;449;Cliente_449;Centro-Oeste;Corporativo;Produto_103;Equipamentos;8; R$ 1.500,55 ; R$ 12.004,40 ;Cartão;Pendente
3017;2024-01-09;2024;1;9;669;Cliente_669;Sudeste;Atacado;Produto_150;Serviços;5; R$ 559,68 ; R$ 2.798,40 ;Transferência;Concluída
3018;2024-07-25;2024;7;25;896;Cliente_896;Nordeste;Corporativo;Produto_35;Eletrônicos;8; R$ 1.714,47 ; R$ 13.715,76 ;Pix;Cancelada
3019;2024-06-02;2024;6;2;423;Cliente_423;Centro-Oeste;Varejo;Produto_28;Acessórios;7; R$ 1.851,85 ; R$ 12.962,95 ;Boleto;Cancelada
3020;2024-11-16;2024;11;16;1087;Cliente_1087;Nordeste;Online;Produto_11;Serviços;6; R$ 829,36 ; R$ 4.976,16 ;Cartão;Pendente
3021;2024-01-11;2024;1;11;658;Cliente_658;Sul;Corporativo;Produto_88;Software;4; R$ 1.123,02 ; R$ 4.492,08 ;Boleto;Concluída
3022;2024-05-13;2024;5;13;326;Cliente_326;Nordeste;Online;Produto_102;Equipamentos;7; R$ 381,14 ; R$ 2.667,98 ;Pix;Pendente
3023;2024-11-08;2024;11;8;810;Cliente_810;Norte;Corporativo;Produto_88;Eletrônicos;1; R$ 902,71 ; R$ 902,71 ;Cartão;Cancelada
3024;2024-07-10;2024;7;10;1034;Cliente_1034;Sudeste;Varejo;Produto_40;Acessórios;2; R$ 923,05 ; R$ 1.846,10 ;Pix;Pendente
3025;2024-03-25;2024;3;25;197;Cliente_197;Sudeste;Atacado;Produto_26;Equipamentos;5; R$ 1.215,95 ; R$ 6.079,75 ;Pix;Cancelada
3026;2024-12-10;2024;12;10;1109;Cliente_1109;Nordeste;Online;Produto_147;Equipamentos;3; R$ 1.049,63 ; R$ 3.148,89 ;Pix;Pendente
3027;2024-06-12;2024;6;12;912;Cliente_912;Centro-Oeste;Varejo;Produto_124;Eletrônicos;7; R$ 714,00 ; R$ 4.998,00 ;Pix;Pendente
3028;2024-12-28;2024;12;28;621;Cliente_621;Nordeste;Online;Produto_57;Equipamentos;10; R$ 541,38 ; R$ 5.413,80 ;Transferência;Cancelada
3029;2024-07-29;2024;7;29;1009;Cliente_1009;Centro-Oeste;Atacado;Produto_37;Eletrônicos;2; R$ 685,85 ; R$ 1.371,70 ;Pix;Cancelada
3030;2024-12-21;2024;12;21;111;Cliente_111;Nordeste;Online;Produto_29;Software;8; R$ 821,73 ; R$ 6.573,84 ;Boleto;Pendente
3031;2024-01-27;2024;1;27;950;Cliente_950;Norte;Varejo;Produto_32;Software;8; R$ 267,48 ; R$ 2.139,84 ;Pix;Pendente
3032;2024-11-10;2024;11;10;932;Cliente_932;Sudeste;Atacado;Produto_19;Software;4; R$ 1.537,67 ; R$ 6.150,68 ;Transferência;Concluída
3033;2024-08-27;2024;8;27;355;Cliente_355;Centro-Oeste;Online;Produto_103;Software;6; R$ 1.886,32 ; R$ 11.317,92 ;Cartão;Concluída
3034;2024-11-20;2024;11;20;702;Cliente_702;Sul;Online;Produto_25;Equipamentos;5; R$ 1.303,35 ; R$ 6.516,75 ;Pix;Cancelada
3035;2024-12-06;2024;12;6;767;Cliente_767;Sudeste;Atacado;Produto_61;Serviços;8; R$ 443,71 ; R$ 3.549,68 ;Pix;Pendente
3036;2024-12-11;2024;12;11;716;Cliente_716;Centro-Oeste;Online;Produto_125;Acessórios;9; R$ 54,95 ; R$ 494,55 ;Pix;Pendente
3037;2024-07-28;2024;7;28;742;Cliente_742;Sul;Varejo;Produto_40;Acessórios;9; R$ 213,49 ; R$ 1.921,41 ;Pix;Cancelada
3038;2024-05-02;2024;5;2;241;Cliente_241;Nordeste;Online;Produto_114;Eletrônicos;4; R$ 832,88 ; R$ 3.331,52 ;Pix;Concluída
